$4,false,false,false,false,false,false,false,false
$2,true,true,true,true,true,true,false,false
in3,false,true,false,true,false,true,false,true
$6,true,true,false,false,false,false,false,false
$8,true,true,true,true,false,false,false,false
$1,false,false,false,false,false,false,false,false
out,true,true,true,true,true,true,false,false
$3,true,true,true,true,true,true,true,true
$7,true,true,false,false,true,true,false,false
in1,false,false,true,true,false,false,true,true
$5,false,false,false,false,false,false,true,true
in2,false,false,false,false,true,true,true,true
