in1,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true
in2,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true
$9,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true
$1,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,true
$5,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false
$6,true,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false
out,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,true
$10,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false
$7,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false
$11,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false
$8,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false
$4,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,true
$3,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false
$2,true,false,true,false,false,true,false,true,false,true,false,true,true,false,true,false
in4,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true
in3,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true
