custom/best_energy,env72/episode_return,env32/episode_return_disc,env6/episode_return,env53/episode_return_disc,env56/episode_return,env67/episode_return_disc,env9/episode_return,env75/episode_return_disc,env4/episode_return,env68/episode_return,env5/episode_return,env78/episode_return,env45/episode_return,env30/episode_return_disc,env21/episode_return_disc,env57/episode_return,env16/episode_return,env49/episode_return,env75/episode_return,env9/episode_return_disc,env2/episode_return_disc,env64/episode_return,env71/episode_return_disc,env29/episode_return,env25/episode_return,env3/episode_return,env40/episode_return,env34/episode_return,env47/episode_return,env19/episode_return_disc,env37/episode_return,env17/episode_return_disc,env77/episode_return,env55/episode_return_disc,env26/episode_return_disc,env51/episode_return_disc,env62/episode_return,env13/episode_return,env3/episode_return_disc,env15/episode_return_disc,env22/episode_return,env42/episode_return,env63/episode_return_disc,env58/episode_return,env30/episode_return,env2/episode_return,env7/episode_return,env41/episode_return,env60/episode_return_disc,env35/episode_return,env0/episode_return,env28/episode_return_disc,env58/episode_return_disc,env79/episode_return,env44/episode_return,env27/episode_return_disc,env42/episode_return_disc,env77/episode_return_disc,env43/episode_return,env65/episode_return,env61/episode_return_disc,env47/episode_return_disc,env59/episode_return_disc,env39/episode_return,env12/episode_return_disc,env46/episode_return,env78/episode_return_disc,env8/episode_return,env67/episode_return,env53/episode_return,env74/episode_return,env34/episode_return_disc,env63/episode_return,env69/episode_return_disc,env7/episode_return_disc,env36/episode_return,env46/episode_return_disc,env73/episode_return,env74/episode_return_disc,env18/episode_return_disc,env27/episode_return,env20/episode_return_disc,env21/episode_return,env31/episode_return_disc,env71/episode_return,env45/episode_return_disc,env25/episode_return_disc,env52/episode_return_disc,env33/episode_return,env20/episode_return,env10/episode_return,env33/episode_return_disc,env51/episode_return,env56/episode_return_disc,env28/episode_return,env23/episode_return_disc,env44/episode_return_disc,env49/episode_return_disc,env8/episode_return_disc,env22/episode_return_disc,env52/episode_return,env1/episode_return,env16/episode_return_disc,env26/episode_return,env29/episode_return_disc,env48/episode_return_disc,env41/episode_return_disc,env61/episode_return,env39/episode_return_disc,env5/episode_return_disc,env11/episode_return_disc,env24/episode_return_disc,env19/episode_return,env36/episode_return_disc,env69/episode_return,env13/episode_return_disc,env14/episode_return_disc,env12/episode_return,env0/episode_return_disc,env35/episode_return_disc,env38/episode_return,env37/episode_return_disc,env66/episode_return,env65/episode_return_disc,env73/episode_return_disc,env17/episode_return,env32/episode_return,env76/episode_return,env18/episode_return,env64/episode_return_disc,env66/episode_return_disc,env62/episode_return_disc,env11/episode_return,env55/episode_return,env10/episode_return_disc,env50/episode_return_disc,env40/episode_return_disc,env48/episode_return,env15/episode_return,env76/episode_return_disc,env72/episode_return_disc,env68/episode_return_disc,env31/episode_return,env70/episode_return_disc,env50/episode_return,env79/episode_return_disc,env1/episode_return_disc,env6/episode_return_disc,env38/episode_return_disc,env57/episode_return_disc,env60/episode_return,env14/episode_return,env43/episode_return_disc,env23/episode_return,env59/episode_return,env54/episode_return_disc,env4/episode_return_disc,env70/episode_return,env24/episode_return,env54/episode_return,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7.692307472229004,8.304702758789062,8.333333015441895,7.027056694030762,14.285714149475098,7.027056694030762,7.692307472229004,6.5251240730285645,7.692307472229004,7.692307472229004,7.692307472229004,9.090909004211426,5.0,7.027056694030762,5.709483623504639,20.0,6.666666507720947,9.090909004211426,7.142857074737549,7.027056694030762,7.612644672393799,6.666666507720947,7.027056694030762,7.692307472229004,7.692307472229004,6.666666507720947,11.11111068725586,11.11111068725586,11.11111068725586,10.150193214416504,7.692307472229004,7.027056694030762,7.692307472229004,7.027056694030762,4.567586898803711,6.090115547180176,11.11111068725586,9.090909004211426,6.090115547180176,7.027056694030762,11.11111068725586,8.333333015441895,6.090115547180176,7.142857074737549,7.692307472229004,8.333333015441895,7.142857074737549,5.0,6.5251240730285645,11.11111068725586,8.333333015441895,6.090115547180176,6.5251240730285645,7.142857074737549,7.692307472229004,7.027056694030762,7.612644672393799,7.027056694030762,7.142857074737549,7.142857074737549,10.150193214416504,10.150193214416504,8.304702758789062,6.25,7.612644672393799,11.11111068725586,8.304702758789062,14.285714149475098,7.692307472229004,7.692307472229004,7.142857074737549,10.150193214416504,6.666666507720947,7.612644672393799,6.5251240730285645,11.11111068725586,10.150193214416504,20.0,6.5251240730285645,7.027056694030762,7.692307472229004,15.225289344787598,6.25,6.090115547180176,7.692307472229004,4.567586898803711,7.027056694030762,7.027056694030762,6.666666507720947,16.66666603088379,11.11111068725586,6.090115547180176,6.666666507720947,13.050248146057129,6.666666507720947,7.027056694030762,7.027056694030762,8.304702758789062,13.050248146057129,10.150193214416504,7.692307472229004,7.692307472229004,6.090115547180176,5.0,7.027056694030762,7.612644672393799,4.567586898803711,11.11111068725586,5.709483623504639,7.027056694030762,7.612644672393799,7.027056694030762,11.11111068725586,10.150193214416504,8.333333015441895,8.304702758789062,7.027056694030762,8.333333015441895,7.612644672393799,10.150193214416504,8.333333015441895,7.027056694030762,6.25,6.5251240730285645,18.270347595214844,7.692307472229004,9.090909004211426,16.66666603088379,7.692307472229004,6.090115547180176,5.709483623504639,10.150193214416504,8.333333015441895,7.692307472229004,10.150193214416504,7.027056694030762,10.150193214416504,8.333333015441895,7.692307472229004,15.225289344787598,7.027056694030762,7.027056694030762,6.666666507720947,8.304702758789062,7.692307472229004,6.5251240730285645,7.027056694030762,7.612644672393799,7.612644672393799,18.270347595214844,7.142857074737549,7.692307472229004,6.5251240730285645,7.692307472229004,9.090909004211426,10.150193214416504,7.027056694030762,9.090909004211426,7.692307472229004,11.11111068725586,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,6.5251240730285645,6.25,7.027056694030762,5.263157844543457,7.612644672393799,11.11111068725586,7.027056694030762,8.333333015441895,7.692307472229004,5.55555534362793,7.142857074737549,5.55555534362793,6.5251240730285645,7.612644672393799,6.25,6.666666507720947,7.692307472229004,7.692307472229004,10.150193214416504,6.5251240730285645,20.0,7.027056694030762,8.333333015441895,7.142857074737549,7.142857074737549,9.090909004211426,9.090909004211426,7.692307472229004,13.050248146057129,6.666666507720947,18.270347595214844,7.692307472229004,18.270347595214844,5.373631477355957,15.225289344787598,7.692307472229004,9.090909004211426,6.5251240730285645,4.567586898803711,7.692307472229004,16.66666603088379,6.5251240730285645,6.666666507720947,7.142857074737549,7.142857074737549,7.692307472229004,11.11111068725586,7.612644672393799,8.333333015441895,6.666666507720947,11.418967247009277,6.090115547180176,4.166666507720947,11.11111068725586,7.027056694030762,15.225289344787598,7.027056694030762,11.11111068725586,6.25,7.612644672393799,7.027056694030762,6.090115547180176,9.090909004211426,7.027056694030762,5.55555534362793,6.5251240730285645,5.55555534362793,8.333333015441895,7.692307472229004,7.692307472229004,8.304702758789062,7.142857074737549,6.5251240730285645,7.027056694030762,6.666666507720947,5.075096607208252,9.090909004211426,7.027056694030762,7.027056694030762,7.692307472229004,6.5251240730285645,8.333333015441895,7.612644672393799,7.692307472229004,5.075096607208252,6.5251240730285645,5.373631477355957,6.666666507720947,7.142857074737549,9.090909004211426,6.090115547180176,16.66666603088379,4.807986259460449,12.5,7.027056694030762,10.150193214416504,7.027056694030762,5.075096607208252,7.027056694030762,5.882352828979492,9.090909004211426,6.090115547180176,5.882352828979492,7.612644672393799,13.050248146057129,10.150193214416504,8.333333015441895,8.304702758789062,5.075096607208252,7.612644672393799,7.027056694030762,14.285714149475098,6.090115547180176,7.142857074737549,8.304702758789062,6.5251240730285645,7.692307472229004,6.090115547180176,7.612644672393799,3.5714285373687744,6.090115547180176,9.090909004211426,5.709483623504639,8.304702758789062,20.0,7.142857074737549,7.692307472229004,7.692307472229004,18.270347595214844,8.304702758789062,7.027056694030762,8.333333015441895,20.0,8.304702758789062,6.5251240730285645,8.304702758789062,14.285714149475098,5.0,7.027056694030762,4.567586898803711,7.027056694030762,8.333333015441895,7.612644672393799,7.142857074737549,3.8063223361968994,8.304702758789062,5.709483623504639,3.2625620365142822,5.709483623504639,8.333333015441895,7.142857074737549,10.150193214416504,7.692307472229004,6.666666507720947,18.270347595214844,7.612644672393799,8.333333015441895,7.692307472229004,20.0,10.0,8.81834266,1600,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,8.65818523,209,1,10.0,7,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.184145545959472,-0.033505574441824136,-6.548511016368866,0.057187500433064996,3.6692123413085938,0.2,0.02139890193939209,4,0.0003,0.01298511
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7.142857074737549,5.373631477355957,8.333333015441895,6.5251240730285645,7.692307472229004,5.075096607208252,4.0,5.709483623504639,8.333333015441895,7.692307472229004,20.0,11.11111068725586,20.0,18.270347595214844,6.090115547180176,4.0,7.692307472229004,16.66666603088379,6.25,3.654069423675537,10.150193214416504,6.25,6.090115547180176,5.882352828979492,4.761904716491699,4.761904716491699,8.333333015441895,7.142857074737549,6.666666507720947,8.304702758789062,5.55555534362793,6.5251240730285645,8.333333015441895,7.027056694030762,4.807986259460449,6.5251240730285645,7.692307472229004,7.142857074737549,4.350082874298096,18.270347595214844,11.11111068725586,12.5,7.027056694030762,7.692307472229004,20.0,11.11111068725586,6.666666507720947,5.55555534362793,7.027056694030762,16.66666603088379,7.692307472229004,7.027056694030762,7.027056694030762,8.333333015441895,6.666666507720947,18.270347595214844,11.418967247009277,7.612644672393799,8.333333015441895,6.25,18.270347595214844,6.090115547180176,4.807986259460449,7.692307472229004,10.150193214416504,6.25,10.150193214416504,6.666666507720947,5.55555534362793,7.142857074737549,4.761904716491699,6.5251240730285645,7.692307472229004,10.150193214416504,6.090115547180176,7.692307472229004,5.709483623504639,8.333333015441895,4.350082874298096,6.5251240730285645,20.0,6.5251240730285645,6.666666507720947,13.050248146057129,6.666666507720947,18.270347595214844,4.350082874298096,18.270347595214844,8.333333015441895,7.142857074737549,11.11111068725586,7.612644672393799,7.142857074737549,7.027056694030762,7.692307472229004,6.090115547180176,6.090115547180176,15.225289344787598,6.090115547180176,10.150193214416504,20.0,7.692307472229004,7.027056694030762,5.263157844543457,5.373631477355957,6.090115547180176,5.075096607208252,20.0,7.027056694030762,18.270347595214844,10.150193214416504,5.075096607208252,9.090909004211426,7.027056694030762,11.11111068725586,6.5251240730285645,7.027056694030762,11.11111068725586,7.027056694030762,15.225289344787598,5.55555534362793,5.075096607208252,7.692307472229004,5.709483623504639,7.612644672393799,7.142857074737549,5.882352828979492,8.333333015441895,7.142857074737549,5.709483623504639,7.027056694030762,7.027056694030762,11.11111068725586,7.692307472229004,10.150193214416504,5.709483623504639,7.612644672393799,6.666666507720947,20.0,7.612644672393799,6.5251240730285645,7.027056694030762,14.285714149475098,6.5251240730285645,6.25,7.612644672393799,7.027056694030762,7.612644672393799,5.075096607208252,3.654069423675537,7.692307472229004,7.692307472229004,7.612644672393799,6.666666507720947,5.263157844543457,18.270347595214844,7.612644672393799,7.142857074737549,5.55555534362793,20.0,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
