$1,false,true,false,false,false,false,false,true
$3,false,false,true,true,true,true,false,false
$4,true,true,false,false,false,false,false,false
in3,false,true,false,true,false,true,false,true
$6,true,true,true,true,false,false,false,false
in2,false,false,false,false,true,true,true,true
$5,false,false,false,false,false,false,true,true
$7,true,true,false,false,true,true,false,false
out,false,true,false,false,false,false,false,true
in1,false,false,true,true,false,false,true,true
$2,true,false,true,false,true,false,true,false
