out,true,true,false,false,false,false,false,true
$7,true,true,true,true,false,false,false,false
$2,true,true,false,false,false,false,false,false
$3,true,true,false,false,true,true,false,false
$5,false,false,false,false,false,true,false,true
in3,false,false,true,true,false,false,true,true
$4,true,true,true,true,true,false,true,false
$6,true,false,true,false,true,false,true,false
in1,false,true,false,true,false,true,false,true
in2,false,false,false,false,true,true,true,true
$1,false,false,false,false,false,false,false,true
