Rank,Circuit Score,Toxicity Score,Roadblocking,Permutation
1,36.58688595025111,0.7609349544570161,False,[ 2 19 15 13 12]
2,34.738709709713866,0.7667873204797123,False,[ 2 19 15  1 11]
3,30.54306991770582,0.7543599708832378,False,[ 1 11  2 19 15]
4,28.58292455484581,0.793910629363411,False,[ 2 19 15  1 12]
5,28.135996086496785,0.7597511466474547,False,[ 2 19 12 13 15]
6,27.34205423657014,0.7548034980274926,False,[ 2 11 13 19 15]
7,26.824243507380398,0.7602331868696395,False,[ 2 19 11 13 15]
8,26.095323448088305,0.7719415311510645,False,[ 1 12  2 19 15]
9,25.51095262063834,0.7825622445932299,False,[ 1 19 15  2 11]
10,24.964237206499845,0.7755109078888136,False,[ 1 19  2 15 11]
11,24.958320737211313,0.7638317027446161,False,[ 2  5 13 19 11]
12,24.874570734322965,0.7615038419268515,False,[ 1 12 15  2 19]
13,23.770261399094327,0.7513460635555512,False,[ 1 11  2 17 15]
14,23.369895426527624,0.7609698237411799,False,[ 1 12  2 15 19]
15,23.30801151718071,0.7862794842222876,False,[ 1  5 15  2 11]
16,22.905369596805052,0.7513290770718748,False,[ 2 12 13 19 15]
17,22.842828237039278,0.7527726676647999,False,[ 2  5 13 15 12]
18,22.583316035778704,0.7683813049967962,False,[ 2  5 15 13 12]
19,22.21476826317512,0.7564360280416405,False,[ 1 19 15  2 12]
20,21.80785146314399,0.7791900921128478,False,[ 1  5  2 15 11]
