custom/best_energy,env22/episode_return,env47/episode_return_disc,env14/episode_return,env62/episode_return_disc,env69/episode_return,env37/episode_return,env3/episode_return_disc,env18/episode_return_disc,env23/episode_return_disc,env60/episode_return,env34/episode_return,env65/episode_return_disc,env0/episode_return,env5/episode_return,env2/episode_return,env33/episode_return,env63/episode_return,env17/episode_return,env13/episode_return_disc,env27/episode_return,env45/episode_return_disc,env38/episode_return,env31/episode_return,env33/episode_return_disc,env72/episode_return_disc,env16/episode_return_disc,env9/episode_return,env25/episode_return_disc,env51/episode_return,env38/episode_return_disc,env4/episode_return_disc,env1/episode_return_disc,env18/episode_return,env32/episode_return,env63/episode_return_disc,env78/episode_return_disc,env1/episode_return,env40/episode_return_disc,env7/episode_return,env72/episode_return,env12/episode_return_disc,env22/episode_return_disc,env26/episode_return_disc,env29/episode_return_disc,env35/episode_return,env21/episode_return,env39/episode_return_disc,env8/episode_return,env71/episode_return_disc,env56/episode_return_disc,env61/episode_return_disc,env5/episode_return_disc,env31/episode_return_disc,env30/episode_return,env15/episode_return,env40/episode_return,env58/episode_return,env55/episode_return,env34/episode_return_disc,env8/episode_return_disc,env65/episode_return,env26/episode_return,env35/episode_return_disc,env27/episode_return_disc,env73/episode_return_disc,env16/episode_return,env41/episode_return,env77/episode_return_disc,env48/episode_return,env70/episode_return,env69/episode_return_disc,env29/episode_return,env49/episode_return_disc,env24/episode_return_disc,env54/episode_return,env76/episode_return,env64/episode_return_disc,env20/episode_return,env10/episode_return_disc,env74/episode_return_disc,env60/episode_return_disc,env44/episode_return,env67/episode_return_disc,env28/episode_return_disc,env79/episode_return,env11/episode_return,env56/episode_return,env25/episode_return,env78/episode_return,env53/episode_return_disc,env23/episode_return,env11/episode_return_disc,env39/episode_return,env74/episode_return,env28/episode_return,env43/episode_return_disc,env3/episode_return,env42/episode_return_disc,env4/episode_return,env36/episode_return_disc,env68/episode_return,env6/episode_return_disc,env36/episode_return,env50/episode_return_disc,env45/episode_return,env20/episode_return_disc,env61/episode_return,env41/episode_return_disc,env30/episode_return_disc,env2/episode_return_disc,env51/episode_return_disc,env15/episode_return_disc,env44/episode_return_disc,env57/episode_return_disc,env37/episode_return_disc,env13/episode_return,env21/episode_return_disc,env67/episode_return,env50/episode_return,env19/episode_return,env53/episode_return,env7/episode_return_disc,env49/episode_return,env79/episode_return_disc,env58/episode_return_disc,env42/episode_return,env73/episode_return,env71/episode_return,env75/episode_return_disc,env55/episode_return_disc,env52/episode_return,env66/episode_return_disc,env0/episode_return_disc,env46/episode_return,env75/episode_return,env6/episode_return,env24/episode_return,env14/episode_return_disc,env68/episode_return_disc,env46/episode_return_disc,env70/episode_return_disc,env54/episode_return_disc,env9/episode_return_disc,env52/episode_return_disc,env76/episode_return_disc,env62/episode_return,env47/episode_return,env32/episode_return_disc,env59/episode_return_disc,env10/episode_return,env48/episode_return_disc,env77/episode_return,env43/episode_return,env66/episode_return,env64/episode_return,env12/episode_return,env17/episode_return_disc,env57/episode_return,env59/episode_return,env19/episode_return_disc,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/value_loss,train/clip_fraction,train/explained_variance,train/loss,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/clip_range,train/approx_kl
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.040816307067871,1.450027585029602,2.127659559249878,1.4054113626480103,1.6666666269302368,1.470588207244873,1.6026620864868164,1.323938250541687,1.4054113626480103,1.4492753744125366,1.6949152946472168,1.323938250541687,1.4492753744125366,1.6949152946472168,10.0,1.4492753744125366,1.7857142686843872,1.4492753744125366,1.323938250541687,1.4492753744125366,1.8643211126327515,1.5873016119003296,1.4492753744125366,1.323938250541687,7.027056694030762,1.5483344793319702,1.4492753744125366,1.4054113626480103,1.923076868057251,1.450027585029602,1.94365394115448,1.7912105321884155,1.4492753744125366,1.5151515007019043,1.6312810182571411,7.027056694030762,1.9607843160629272,1.323938250541687,1.4492753744125366,7.692307472229004,1.8270347118377686,1.8643211126327515,1.3434078693389893,1.5483344793319702,3.3333332538604736,1.4492753744125366,1.94365394115448,2.040816307067871,2.9468302726745605,1.9031611680984497,2.9468302726745605,1.5483344793319702,1.323938250541687,1.4492753744125366,1.5384615659713745,1.4492753744125366,1.7543859481811523,1.923076868057251,1.5483344793319702,1.8643211126327515,1.4492753744125366,1.470588207244873,3.045057773590088,1.323938250541687,1.5483344793319702,1.6949152946472168,1.4492753744125366,1.3634587526321411,1.5873016119003296,1.5625,1.522528886795044,1.6949152946472168,1.6026620864868164,1.4054113626480103,1.4492753744125366,2.127659559249878,1.5483344793319702,1.5384615659713745,1.323938250541687,1.323938250541687,1.323938250541687,1.4492753744125366,1.4054113626480103,1.450027585029602,1.4492753744125366,1.6949152946472168,2.0833332538604736,1.5384615659713745,7.692307472229004,1.323938250541687,1.5384615659713745,1.5483344793319702,2.127659559249878,1.4492753744125366,1.5873016119003296,1.3434078693389893,1.7543859481811523,1.3434078693389893,2.127659559249878,1.6312810182571411,1.492537260055542,1.323938250541687,1.7857142686843872,1.4273709058761597,2.040816307067871,1.4054113626480103,3.225806474685669,1.323938250541687,1.323938250541687,9.135173797607422,1.7567641735076904,1.4054113626480103,1.323938250541687,1.3841172456741333,1.3434078693389893,1.4492753744125366,1.323938250541687,1.5384615659713745,1.5625,1.4492753744125366,1.4492753744125366,1.323938250541687,1.7543859481811523,1.323938250541687,1.6026620864868164,1.470588207244873,1.6949152946472168,3.225806474685669,1.323938250541687,1.7567641735076904,1.5625,1.94365394115448,1.323938250541687,1.5384615659713745,1.4492753744125366,1.4492753744125366,1.5384615659713745,1.94365394115448,1.3634587526321411,1.4054113626480103,1.4273709058761597,1.323938250541687,1.323938250541687,1.4273709058761597,1.94365394115448,1.5384615659713745,1.5873016119003296,1.3841172456741333,1.450027585029602,1.4492753744125366,1.450027585029602,1.492537260055542,1.470588207244873,2.127659559249878,1.6949152946472168,2.0,1.323938250541687,1.5151515007019043,1.5873016119003296,1.323938250541687,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.127659559249878,1.323938250541687,1.5873016119003296,1.3434078693389893,1.3333333730697632,1.5384615659713745,1.6609406471252441,1.2513936758041382,1.4734151363372803,1.8181818723678589,1.5873016119003296,1.2866442203521729,1.3157894611358643,1.4492753744125366,1.6393442153930664,3.125,1.4285714626312256,1.9607843160629272,1.2513936758041382,1.298701286315918,1.3050247430801392,1.7241379022598267,1.5384615659713745,2.8547418117523193,1.3434078693389893,1.127799153327942,1.470588207244873,1.3050247430801392,1.5625,1.575029969215393,1.268774151802063,1.8643211126327515,1.3698630332946777,1.3513513803482056,1.3050247430801392,1.268774151802063,2.040816307067871,1.8270347118377686,1.5151515007019043,1.470588207244873,1.6312810182571411,1.94365394115448,1.450027585029602,1.7567641735076904,1.5625,1.492537260055542,1.5483344793319702,1.3513513803482056,1.3050247430801392,1.6916987895965576,1.7567641735076904,1.323938250541687,1.4054113626480103,1.5384615659713745,1.8181818723678589,2.0,1.3513513803482056,1.492537260055542,1.450027585029602,1.2344828844070435,1.408450722694397,1.5873016119003296,1.4273709058761597,1.186386227607727,1.723617672920227,1.2345678806304932,1.470588207244873,1.323938250541687,2.127659559249878,2.040816307067871,1.2180231809616089,1.923076868057251,1.323938250541687,1.3634587526321411,1.923076868057251,1.6393442153930664,1.4273709058761597,1.492537260055542,1.6609406471252441,1.1711760759353638,1.6609406471252441,2.127659559249878,1.4054113626480103,1.268774151802063,1.6666666269302368,3.3333332538604736,1.8518518209457397,1.4285714626312256,1.3888888359069824,1.450027585029602,1.6129032373428345,3.045057773590088,1.6949152946472168,1.2820513248443604,1.3888888359069824,1.2513936758041382,1.8181818723678589,1.2344828844070435,1.3888888359069824,1.7912105321884155,1.3513513803482056,1.3634587526321411,1.9607843160629272,1.3841172456741333,1.4285714626312256,1.3634587526321411,1.923076868057251,1.3434078693389893,1.4054113626480103,1.4975694417953491,1.4273709058761597,1.6609406471252441,1.94365394115448,7.027056694030762,1.4054113626480103,1.3698630332946777,1.3634587526321411,1.5384615659713745,1.5151515007019043,1.6393442153930664,1.5873016119003296,1.3841172456741333,1.4492753744125366,1.522528886795044,1.2344828844070435,1.3513513803482056,1.8867924213409424,1.4285714626312256,1.450027585029602,1.3634587526321411,8.333333015441895,1.268774151802063,1.2019965648651123,1.408450722694397,1.5873016119003296,1.492537260055542,1.492537260055542,1.450027585029602,1.2344828844070435,1.2866442203521729,1.8643211126327515,1.7567641735076904,1.3434078693389893,7.612644672393799,1.4975694417953491,1.470588207244873,1.4492753744125366,1.2344828844070435,1.2513936758041382,1.8181818723678589,1.94365394115448,1.4492753744125366,1.3698630332946777,1.3888888359069824,1.5625,1.7857142686843872,1.7912105321884155,7.692307472229004,1.3698630332946777,1.4975694417953491,1600,10.0,1.94556377,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,1,1,1.9059544799999997,10.0,1589,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,1.0045192554593085,0.07343750057043508,-0.11310756206512451,0.5459559559822083,-0.029103711952557277,-6.810755479335785,4,0.2,0.015466993
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.9607843160629272,1.323938250541687,2.127659559249878,1.94365394115448,1.8518518209457397,1.6949152946472168,1.3434078693389893,2.9468302726745605,1.3050247430801392,1.8867924213409424,1.8518518209457397,1.3434078693389893,1.8867924213409424,1.8518518209457397,1.4285714626312256,1.3698630332946777,2.0833332538604736,3.225806474685669,1.4975694417953491,1.408450722694397,1.3434078693389893,1.3888888359069824,1.2195122241973877,1.2513936758041382,1.4734151363372803,1.2180231809616089,1.492537260055542,1.3434078693389893,1.8867924213409424,1.268774151802063,1.3050247430801392,1.323938250541687,3.225806474685669,1.3513513803482056,1.9031611680984497,1.268774151802063,1.4492753744125366,1.2513936758041382,1.8518518209457397,1.6129032373428345,1.3050247430801392,1.7912105321884155,1.8270347118377686,1.323938250541687,1.3888888359069824,1.3513513803482056,2.9468302726745605,1.4285714626312256,1.5483344793319702,3.045057773590088,1.94365394115448,1.6916987895965576,1.11404550075531,1.3513513803482056,7.692307472229004,1.3698630332946777,1.5384615659713745,1.7543859481811523,1.6916987895965576,1.3050247430801392,1.470588207244873,2.0,1.268774151802063,1.2866442203521729,1.6916987895965576,1.3333333730697632,1.408450722694397,1.94365394115448,2.5641026496887207,1.8518518209457397,1.6916987895965576,1.4492753744125366,1.2866442203521729,1.450027585029602,1.298701286315918,1.7857142686843872,1.6026620864868164,1.8867924213409424,9.135173797607422,1.2344828844070435,1.723617672920227,1.5873016119003296,1.1711760759353638,1.1418967247009277,1.9607843160629272,1.5384615659713745,3.3333332538604736,1.470588207244873,1.3888888359069824,1.2019965648651123,1.4285714626312256,1.4054113626480103,3.225806474685669,1.3513513803482056,1.25,1.4273709058761597,1.470588207244873,1.323938250541687,1.4285714626312256,1.2344828844070435,1.8867924213409424,1.3434078693389893,1.3513513803482056,1.268774151802063,1.470588207244873,1.723617672920227,2.127659559249878,1.2866442203521729,1.2344828844070435,1.3050247430801392,1.723617672920227,7.027056694030762,1.450027585029602,1.7567641735076904,1.5483344793319702,1.6393442153930664,1.2344828844070435,1.2820513248443604,1.3888888359069824,1.5873016119003296,1.3157894611358643,1.6916987895965576,1.408450722694397,1.7912105321884155,1.4054113626480103,1.4492753744125366,1.8518518209457397,1.6949152946472168,1.323938250541687,1.6026620864868164,1.3333333730697632,1.575029969215393,1.723617672920227,1.923076868057251,1.4492753744125366,1.470588207244873,1.5873016119003296,1.94365394115448,1.723617672920227,1.7567641735076904,1.6916987895965576,1.186386227607727,1.3634587526321411,1.2180231809616089,1.6312810182571411,2.127659559249878,1.4492753744125366,1.2344828844070435,1.2866442203521729,10.0,2.3423521518707275,2.127659559249878,1.5625,1.7241379022598267,1.7543859481811523,1.4285714626312256,2.9468302726745605,1.923076868057251,1.408450722694397,1.450027585029602,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
