custom/best_energy,env1/episode_return_disc,env48/episode_return,env45/episode_return,env19/episode_return,env21/episode_return_disc,env49/episode_return_disc,env44/episode_return,env57/episode_return,env57/episode_return_disc,env50/episode_return_disc,env52/episode_return,env69/episode_return_disc,env6/episode_return_disc,env5/episode_return,env70/episode_return,env36/episode_return_disc,env70/episode_return_disc,env9/episode_return,env16/episode_return,env15/episode_return,env59/episode_return_disc,env25/episode_return_disc,env17/episode_return_disc,env18/episode_return_disc,env32/episode_return_disc,env9/episode_return_disc,env51/episode_return_disc,env14/episode_return,env23/episode_return,env76/episode_return,env79/episode_return_disc,env72/episode_return,env67/episode_return_disc,env73/episode_return,env22/episode_return,env42/episode_return_disc,env40/episode_return,env3/episode_return_disc,env8/episode_return,env43/episode_return,env56/episode_return,env41/episode_return_disc,env42/episode_return,env60/episode_return,env58/episode_return,env24/episode_return,env45/episode_return_disc,env48/episode_return_disc,env72/episode_return_disc,env29/episode_return_disc,env65/episode_return,env20/episode_return_disc,env5/episode_return_disc,env16/episode_return_disc,env24/episode_return_disc,env71/episode_return_disc,env3/episode_return,env62/episode_return_disc,env55/episode_return,env25/episode_return,env75/episode_return_disc,env34/episode_return_disc,env34/episode_return,env10/episode_return,env47/episode_return,env47/episode_return_disc,env15/episode_return_disc,env53/episode_return_disc,env46/episode_return_disc,env33/episode_return_disc,env0/episode_return_disc,env77/episode_return,env11/episode_return,env63/episode_return_disc,env2/episode_return,env56/episode_return_disc,env49/episode_return,env12/episode_return_disc,env7/episode_return_disc,env62/episode_return,env78/episode_return,env69/episode_return,env54/episode_return_disc,env58/episode_return_disc,env35/episode_return,env2/episode_return_disc,env26/episode_return,env28/episode_return_disc,env38/episode_return_disc,env60/episode_return_disc,env40/episode_return_disc,env41/episode_return,env50/episode_return,env26/episode_return_disc,env37/episode_return_disc,env0/episode_return,env61/episode_return_disc,env27/episode_return,env73/episode_return_disc,env31/episode_return,env31/episode_return_disc,env39/episode_return,env64/episode_return_disc,env22/episode_return_disc,env30/episode_return_disc,env44/episode_return_disc,env21/episode_return,env17/episode_return,env63/episode_return,env68/episode_return_disc,env74/episode_return_disc,env77/episode_return_disc,env46/episode_return,env1/episode_return,env13/episode_return_disc,env10/episode_return_disc,env30/episode_return,env65/episode_return_disc,env13/episode_return,env75/episode_return,env67/episode_return,env53/episode_return,env33/episode_return,env19/episode_return_disc,env35/episode_return_disc,env4/episode_return,env79/episode_return,env38/episode_return,env8/episode_return_disc,env27/episode_return_disc,env39/episode_return_disc,env78/episode_return_disc,env43/episode_return_disc,env74/episode_return,env71/episode_return,env20/episode_return,env18/episode_return,env4/episode_return_disc,env54/episode_return,env76/episode_return_disc,env52/episode_return_disc,env37/episode_return,env7/episode_return,env55/episode_return_disc,env66/episode_return_disc,env64/episode_return,env6/episode_return,env51/episode_return,env11/episode_return_disc,env32/episode_return,env61/episode_return,env66/episode_return,env12/episode_return,env59/episode_return,env29/episode_return,env28/episode_return,env68/episode_return,env23/episode_return_disc,env14/episode_return_disc,env36/episode_return,eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/entropy_loss,train/loss,train/clip_range,train/n_updates,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/learning_rate
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.9718146324157715,4.761904716491699,3.5714285373687744,4.34782600402832,2.9468302726745605,3.2625620365142822,4.34782600402832,3.5714285373687744,3.2625620365142822,18.270347595214844,3.225806474685669,2.9468302726745605,4.350082874298096,5.882352828979492,4.34782600402832,3.9718146324157715,3.9718146324157715,3.225806474685669,3.225806474685669,4.166666507720947,2.9468302726745605,2.9468302726745605,3.150059938430786,2.9468302726745605,3.8063223361968994,2.9468302726745605,2.9468302726745605,3.225806474685669,3.3333332538604736,4.166666507720947,3.3833975791931152,3.5714285373687744,2.9468302726745605,3.3333332538604736,6.25,4.350082874298096,3.225806474685669,2.9468302726745605,4.34782600402832,4.34782600402832,3.5714285373687744,3.9718146324157715,4.761904716491699,20.0,4.545454502105713,4.34782600402832,3.2625620365142822,4.350082874298096,3.2625620365142822,3.9718146324157715,3.225806474685669,3.045057773590088,5.373631477355957,2.9468302726745605,3.9718146324157715,3.9718146324157715,3.225806474685669,3.9718146324157715,4.34782600402832,3.225806474685669,3.8063223361968994,3.045057773590088,3.3333332538604736,5.882352828979492,4.34782600402832,3.9718146324157715,3.8063223361968994,3.9718146324157715,4.350082874298096,2.9468302726745605,2.9468302726745605,3.4482758045196533,4.34782600402832,5.373631477355957,3.225806474685669,3.2625620365142822,3.5714285373687744,5.373631477355957,3.2625620365142822,4.34782600402832,3.3333332538604736,3.225806474685669,3.8063223361968994,4.152351379394531,3.225806474685669,2.9468302726745605,4.545454502105713,3.2625620365142822,3.8063223361968994,18.270347595214844,2.9468302726745605,4.34782600402832,20.0,4.152351379394531,5.709483623504639,3.225806474685669,2.9468302726745605,3.5714285373687744,3.045057773590088,6.666666507720947,6.090115547180176,3.225806474685669,3.2625620365142822,5.709483623504639,3.2625620365142822,3.9718146324157715,3.225806474685669,3.4482758045196533,5.882352828979492,2.9468302726745605,3.9718146324157715,3.150059938430786,4.761904716491699,4.34782600402832,6.090115547180176,5.373631477355957,3.5714285373687744,2.9468302726745605,6.666666507720947,4.166666507720947,3.225806474685669,4.34782600402832,3.225806474685669,3.9718146324157715,2.9468302726745605,3.225806474685669,3.7037036418914795,4.166666507720947,3.9718146324157715,3.2625620365142822,2.9468302726745605,3.045057773590088,3.9718146324157715,4.34782600402832,4.34782600402832,3.3333332538604736,3.225806474685669,2.9468302726745605,4.166666507720947,3.8063223361968994,2.9468302726745605,6.25,3.5714285373687744,3.9718146324157715,2.9468302726745605,3.5714285373687744,4.761904716491699,3.225806474685669,3.9718146324157715,4.166666507720947,3.225806474685669,3.225806474685669,5.882352828979492,3.225806474685669,4.34782600402832,3.5714285373687744,3.225806474685669,3.045057773590088,2.9468302726745605,4.34782600402832,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.8063223361968994,3.0303030014038086,12.5,3.225806474685669,2.8547418117523193,3.9718146324157715,3.225806474685669,3.3333332538604736,3.045057773590088,3.513528347015381,3.225806474685669,4.807986259460449,2.9468302726745605,3.225806474685669,4.0,3.9718146324157715,3.654069423675537,11.11111068725586,3.5714285373687744,2.777777671813965,3.654069423675537,18.270347595214844,3.513528347015381,3.2625620365142822,2.3423521518707275,10.150193214416504,2.468965768814087,5.0,3.125,2.941176414489746,3.9718146324157715,10.0,3.9718146324157715,20.0,3.3333332538604736,3.513528347015381,3.846153736114502,2.22809100151062,2.702702760696411,4.34782600402832,4.34782600402832,2.9468302726745605,3.846153736114502,2.5,3.125,3.846153736114502,11.418967247009277,2.7682344913482666,9.135173797607422,3.045057773590088,4.166666507720947,3.2625620365142822,2.9468302726745605,3.2625620365142822,3.513528347015381,3.9718146324157715,2.4390244483947754,4.152351379394531,3.3333332538604736,20.0,3.2625620365142822,2.6868157386779785,2.941176414489746,4.761904716491699,3.7037036418914795,3.3833975791931152,2.537548303604126,4.567586898803711,3.2625620365142822,2.175041437149048,5.373631477355957,3.0303030014038086,3.225806474685669,3.9718146324157715,4.545454502105713,3.9718146324157715,4.34782600402832,3.2625620365142822,3.654069423675537,4.545454502105713,20.0,5.263157844543457,3.8063223361968994,2.8547418117523193,2.777777671813965,4.152351379394531,3.846153736114502,3.513528347015381,2.9468302726745605,2.2837934494018555,3.513528347015381,3.225806474685669,3.846153736114502,3.513528347015381,3.8063223361968994,5.882352828979492,2.7682344913482666,3.125,18.270347595214844,3.125,2.8547418117523193,4.166666507720947,2.9468302726745605,3.045057773590088,2.9468302726745605,2.9468302726745605,3.125,3.846153736114502,4.34782600402832,3.3833975791931152,2.4039931297302246,2.7682344913482666,3.5714285373687744,4.166666507720947,2.9468302726745605,4.350082874298096,3.225806474685669,3.8063223361968994,3.225806474685669,3.5714285373687744,4.34782600402832,5.0,2.3809523582458496,2.9468302726745605,2.537548303604126,3.0303030014038086,4.34782600402832,3.225806474685669,2.468965768814087,2.8547418117523193,3.8063223361968994,18.270347595214844,3.9718146324157715,2.6315789222717285,4.34782600402832,3.5714285373687744,3.5714285373687744,2.7682344913482666,4.166666507720947,2.6868157386779785,2.9468302726745605,4.166666507720947,4.0,3.045057773590088,3.8063223361968994,3.225806474685669,3.225806474685669,2.702702760696411,2.9468302726745605,2.5641026496887207,3.0303030014038086,4.166666507720947,3.5714285373687744,4.0,3.3333332538604736,3.846153736114502,3.7037036418914795,2.8547418117523193,4.567586898803711,4.34782600402832,4.421166520000001,10.0,1600,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,2,736,10.0,4.5399682,1,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.471587824821472,3.7557907104492188,0.2,4,0.00997126,0.0351562503259629,-0.024689787842680742,6.7390594482421875,-0.006538867950439453,0.0003
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.513528347015381,4.761904716491699,3.0303030014038086,3.125,3.045057773590088,3.513528347015381,3.125,2.702702760696411,2.468965768814087,3.150059938430786,3.5714285373687744,2.6868157386779785,3.8063223361968994,3.4482758045196533,3.846153736114502,3.513528347015381,3.513528347015381,2.222222328186035,3.225806474685669,2.702702760696411,3.3833975791931152,4.567586898803711,5.373631477355957,2.7682344913482666,5.075096607208252,2.030038595199585,2.7682344913482666,20.0,4.34782600402832,4.0,2.8547418117523193,3.5714285373687744,3.045057773590088,2.6315789222717285,20.0,4.152351379394531,3.5714285373687744,11.418967247009277,2.857142925262451,7.692307472229004,3.225806474685669,3.2625620365142822,4.545454502105713,5.882352828979492,3.125,10.0,2.7682344913482666,4.350082874298096,3.2625620365142822,3.654069423675537,2.2727272510528564,4.807986259460449,3.150059938430786,2.9468302726745605,9.135173797607422,2.8547418117523193,12.5,3.9718146324157715,3.225806474685669,5.0,3.654069423675537,3.513528347015381,3.846153736114502,2.857142925262451,20.0,18.270347595214844,2.468965768814087,3.654069423675537,4.350082874298096,18.270347595214844,2.7682344913482666,3.5714285373687744,2.857142925262451,3.8063223361968994,3.846153736114502,2.9468302726745605,3.846153736114502,3.654069423675537,2.030038595199585,4.34782600402832,3.225806474685669,2.941176414489746,3.2625620365142822,2.8547418117523193,3.125,3.513528347015381,5.882352828979492,2.6868157386779785,3.2625620365142822,5.373631477355957,3.2625620365142822,3.5714285373687744,3.4482758045196533,5.373631477355957,2.1244590282440186,3.0303030014038086,4.807986259460449,4.0,2.4039931297302246,3.4482758045196533,3.150059938430786,3.225806474685669,3.045057773590088,18.270347595214844,3.2625620365142822,2.8547418117523193,3.3333332538604736,5.882352828979492,4.166666507720947,2.468965768814087,2.9468302726745605,3.2625620365142822,4.761904716491699,3.846153736114502,4.152351379394531,2.6100494861602783,3.5714285373687744,2.0761756896972656,4.545454502105713,4.0,3.3333332538604736,4.0,20.0,2.8547418117523193,2.8547418117523193,3.125,3.125,3.5714285373687744,2.6100494861602783,3.654069423675537,2.9468302726745605,2.9468302726745605,7.027056694030762,3.225806474685669,3.125,5.263157844543457,3.0303030014038086,2.8547418117523193,3.5714285373687744,3.654069423675537,3.2625620365142822,2.3255813121795654,2.222222328186035,2.9468302726745605,2.8547418117523193,3.3333332538604736,4.166666507720947,3.0303030014038086,2.6100494861602783,5.55555534362793,5.263157844543457,3.125,4.0,3.7037036418914795,4.0,2.941176414489746,2.702702760696411,3.9718146324157715,18.270347595214844,3.846153736114502,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
