$4,true,true,true,true,true,true,true,true
in3,false,false,true,true,false,false,true,true
$3,false,true,false,true,false,true,false,true
$5,true,false,true,false,true,false,true,false
in1,false,true,false,true,false,true,false,true
in2,false,false,false,false,true,true,true,true
$2,false,false,false,false,false,false,false,false
$6,false,false,false,false,false,false,false,false
$8,true,true,true,true,false,false,false,false
$1,true,false,true,false,true,false,true,false
out,true,false,true,false,true,false,true,false
$9,true,true,false,false,true,true,false,false
$7,true,true,false,false,false,false,false,false
