custom/best_energy,env34/episode_return_disc,env73/episode_return,env19/episode_return_disc,env18/episode_return_disc,env18/episode_return,env62/episode_return,env52/episode_return,env43/episode_return,env8/episode_return_disc,env22/episode_return_disc,env0/episode_return_disc,env78/episode_return_disc,env56/episode_return_disc,env13/episode_return,env41/episode_return_disc,env21/episode_return_disc,env25/episode_return_disc,env50/episode_return,env6/episode_return_disc,env43/episode_return_disc,env28/episode_return,env23/episode_return,env73/episode_return_disc,env42/episode_return_disc,env55/episode_return,env33/episode_return_disc,env42/episode_return,env8/episode_return,env31/episode_return,env16/episode_return_disc,env41/episode_return,env30/episode_return_disc,env34/episode_return,env37/episode_return_disc,env4/episode_return,env10/episode_return,env60/episode_return_disc,env55/episode_return_disc,env38/episode_return,env39/episode_return,env3/episode_return_disc,env58/episode_return,env76/episode_return,env13/episode_return_disc,env67/episode_return,env77/episode_return_disc,env70/episode_return_disc,env71/episode_return,env50/episode_return_disc,env1/episode_return_disc,env37/episode_return,env28/episode_return_disc,env75/episode_return,env2/episode_return,env59/episode_return,env58/episode_return_disc,env36/episode_return_disc,env60/episode_return,env52/episode_return_disc,env17/episode_return,env53/episode_return,env74/episode_return_disc,env49/episode_return,env11/episode_return,env32/episode_return_disc,env68/episode_return,env23/episode_return_disc,env48/episode_return,env14/episode_return_disc,env72/episode_return,env24/episode_return,env72/episode_return_disc,env17/episode_return_disc,env24/episode_return_disc,env64/episode_return_disc,env61/episode_return,env33/episode_return,env79/episode_return,env51/episode_return,env51/episode_return_disc,env1/episode_return,env6/episode_return,env27/episode_return_disc,env11/episode_return_disc,env47/episode_return,env39/episode_return_disc,env66/episode_return_disc,env12/episode_return_disc,env53/episode_return_disc,env22/episode_return,env29/episode_return,env47/episode_return_disc,env9/episode_return_disc,env15/episode_return_disc,env69/episode_return_disc,env25/episode_return,env74/episode_return,env77/episode_return,env20/episode_return,env64/episode_return,env40/episode_return_disc,env62/episode_return_disc,env14/episode_return,env65/episode_return,env49/episode_return_disc,env59/episode_return_disc,env66/episode_return,env67/episode_return_disc,env48/episode_return_disc,env19/episode_return,env46/episode_return,env44/episode_return_disc,env7/episode_return_disc,env7/episode_return,env10/episode_return_disc,env79/episode_return_disc,env36/episode_return,env32/episode_return,env4/episode_return_disc,env57/episode_return_disc,env30/episode_return,env78/episode_return,env65/episode_return_disc,env69/episode_return,env54/episode_return_disc,env70/episode_return,env27/episode_return,env35/episode_return_disc,env38/episode_return_disc,env63/episode_return,env12/episode_return,env76/episode_return_disc,env56/episode_return,env57/episode_return,env61/episode_return_disc,env71/episode_return_disc,env16/episode_return,env31/episode_return_disc,env0/episode_return,env35/episode_return,env29/episode_return_disc,env68/episode_return_disc,env5/episode_return,env63/episode_return_disc,env9/episode_return,env45/episode_return,env26/episode_return,env40/episode_return,env2/episode_return_disc,env5/episode_return_disc,env44/episode_return,env45/episode_return_disc,env15/episode_return,env26/episode_return_disc,env75/episode_return_disc,env21/episode_return,env20/episode_return_disc,env54/episode_return,env3/episode_return,env46/episode_return_disc,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/learning_rate,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.9718146324157715,4.545454502105713,2.1244590282440186,3.9718146324157715,4.34782600402832,10.0,12.5,16.66666603088379,3.9718146324157715,3.9718146324157715,4.567586898803711,15.225289344787598,9.135173797607422,5.0,4.152351379394531,2.8547418117523193,9.135173797607422,3.846153736114502,2.1244590282440186,15.225289344787598,20.0,5.0,4.152351379394531,4.152351379394531,16.66666603088379,3.9718146324157715,4.545454502105713,4.34782600402832,10.0,15.225289344787598,4.545454502105713,2.3423521518707275,4.34782600402832,15.225289344787598,4.34782600402832,2.702702760696411,2.1244590282440186,15.225289344787598,10.0,2.3255813121795654,4.152351379394531,4.545454502105713,4.761904716491699,4.567586898803711,3.125,4.152351379394531,3.513528347015381,2.5641026496887207,3.513528347015381,2.1244590282440186,16.66666603088379,18.270347595214844,3.846153736114502,14.285714149475098,4.166666507720947,4.152351379394531,15.225289344787598,2.3255813121795654,11.418967247009277,2.777777671813965,4.545454502105713,3.9718146324157715,4.761904716491699,2.3255813121795654,2.1244590282440186,3.846153736114502,4.567586898803711,4.545454502105713,4.350082874298096,4.545454502105713,20.0,4.152351379394531,2.537548303604126,18.270347595214844,2.537548303604126,4.545454502105713,4.34782600402832,4.0,5.0,4.567586898803711,2.3255813121795654,2.3255813121795654,2.22809100151062,2.1244590282440186,2.777777671813965,2.1244590282440186,11.418967247009277,11.418967247009277,4.152351379394531,4.34782600402832,4.545454502105713,2.537548303604126,3.513528347015381,2.1244590282440186,3.150059938430786,10.0,4.34782600402832,4.545454502105713,16.66666603088379,2.777777671813965,4.152351379394531,9.135173797607422,4.761904716491699,3.3333332538604736,4.350082874298096,3.8063223361968994,12.5,2.8547418117523193,4.152351379394531,2.3255813121795654,2.6315789222717285,2.537548303604126,15.225289344787598,16.66666603088379,2.468965768814087,3.654069423675537,16.66666603088379,2.3255813121795654,3.9718146324157715,3.9718146324157715,2.5641026496887207,16.66666603088379,3.045057773590088,3.4482758045196533,4.152351379394531,3.846153736114502,2.4390244483947754,4.152351379394531,9.135173797607422,2.3255813121795654,12.5,4.350082874298096,10.0,4.34782600402832,4.152351379394531,2.3423521518707275,16.66666603088379,9.135173797607422,5.0,4.545454502105713,4.152351379394531,3.513528347015381,3.5714285373687744,2.1244590282440186,3.846153736114502,12.5,2.3255813121795654,4.545454502105713,13.050248146057129,3.2625620365142822,2.777777671813965,11.418967247009277,2.3255813121795654,2.1244590282440186,3.513528347015381,3.125,15.225289344787598,4.545454502105713,4.545454502105713,2.4039931297302246,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.9718146324157715,3.3333332538604736,2.537548303604126,1.723617672920227,1.8867924213409424,4.34782600402832,4.0,4.545454502105713,2.2837934494018555,3.045057773590088,15.225289344787598,11.418967247009277,4.152351379394531,14.285714149475098,2.3423521518707275,1.8270347118377686,3.8063223361968994,12.5,3.513528347015381,4.152351379394531,4.545454502105713,4.545454502105713,3.045057773590088,4.152351379394531,3.846153736114502,3.8063223361968994,4.545454502105713,2.5,2.777777671813965,2.468965768814087,2.5641026496887207,15.225289344787598,4.34782600402832,10.150193214416504,3.225806474685669,3.125,11.418967247009277,3.513528347015381,2.0833332538604736,3.4482758045196533,3.9718146324157715,16.66666603088379,16.66666603088379,13.050248146057129,3.4482758045196533,4.567586898803711,15.225289344787598,4.545454502105713,11.418967247009277,15.225289344787598,11.11111068725586,4.152351379394531,16.66666603088379,20.0,1.923076868057251,15.225289344787598,3.150059938430786,12.5,3.654069423675537,16.66666603088379,9.090909004211426,4.152351379394531,4.34782600402832,11.11111068725586,9.135173797607422,16.66666603088379,4.152351379394531,16.66666603088379,5.075096607208252,3.5714285373687744,16.66666603088379,3.2625620365142822,15.225289344787598,15.225289344787598,15.225289344787598,10.0,4.166666507720947,2.777777671813965,2.3809523582458496,2.175041437149048,16.66666603088379,3.846153736114502,3.654069423675537,10.150193214416504,2.777777671813965,3.150059938430786,3.150059938430786,1.9859073162078857,8.304702758789062,3.3333332538604736,1.923076868057251,2.537548303604126,3.9718146324157715,3.513528347015381,3.3833975791931152,4.166666507720947,4.545454502105713,5.0,3.846153736114502,16.66666603088379,2.9468302726745605,3.9718146324157715,5.55555534362793,2.6315789222717285,3.9718146324157715,1.7567641735076904,3.4482758045196533,3.150059938430786,15.225289344787598,2.777777671813965,2.857142925262451,3.9718146324157715,18.270347595214844,20.0,2.8547418117523193,2.537548303604126,3.4482758045196533,10.0,2.9468302726745605,2.8547418117523193,16.66666603088379,12.5,2.4039931297302246,3.7037036418914795,3.150059938430786,16.66666603088379,4.0,2.0761756896972656,1.9031611680984497,12.5,2.17391300201416,15.225289344787598,4.545454502105713,3.125,9.135173797607422,4.152351379394531,2.702702760696411,2.537548303604126,16.66666603088379,2.2727272510528564,1.7567641735076904,15.225289344787598,5.0,11.418967247009277,4.34782600402832,12.5,3.3333332538604736,3.225806474685669,18.270347595214844,4.567586898803711,4.34782600402832,11.418967247009277,3.846153736114502,3.045057773590088,15.225289344787598,2.0,3.513528347015381,3.4482758045196533,4.34782600402832,2.6100494861602783,10.0,1600,7.450608229999999,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,2,6.63402463,582,10.0,1,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,6.293987274169922,-0.030006889318792675,0.025413990020751953,0.2,0.018281250423751772,4,18.184373879432677,0.007069065,-6.421923911571502
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.135173797607422,2.777777671813965,3.8063223361968994,2.8547418117523193,3.125,5.0,16.66666603088379,7.142857074737549,3.8063223361968994,2.175041437149048,2.0761756896972656,3.9718146324157715,3.9718146324157715,16.66666603088379,11.418967247009277,9.135173797607422,9.135173797607422,5.0,2.537548303604126,6.5251240730285645,3.846153736114502,16.66666603088379,2.537548303604126,11.418967247009277,2.17391300201416,2.8547418117523193,12.5,4.166666507720947,12.5,18.270347595214844,12.5,11.418967247009277,10.0,3.3833975791931152,4.0,3.225806474685669,15.225289344787598,1.9859073162078857,4.0,16.66666603088379,3.2625620365142822,4.545454502105713,4.545454502105713,15.225289344787598,20.0,2.7682344913482666,1.9859073162078857,7.692307472229004,4.567586898803711,4.152351379394531,3.7037036418914795,3.513528347015381,16.66666603088379,4.545454502105713,4.0,4.152351379394531,9.135173797607422,16.66666603088379,15.225289344787598,12.5,3.846153736114502,3.9718146324157715,16.66666603088379,3.4482758045196533,15.225289344787598,2.5641026496887207,15.225289344787598,9.090909004211426,1.7912105321884155,3.4482758045196533,3.846153736114502,3.150059938430786,11.418967247009277,3.513528347015381,2.9468302726745605,3.4482758045196533,3.125,14.285714149475098,4.545454502105713,4.152351379394531,4.545454502105713,2.777777671813965,1.9859073162078857,3.150059938430786,5.0,15.225289344787598,15.225289344787598,15.225289344787598,3.513528347015381,2.3809523582458496,10.0,4.567586898803711,15.225289344787598,2.0761756896972656,11.418967247009277,10.0,4.34782600402832,3.0303030014038086,10.0,3.225806474685669,9.135173797607422,4.567586898803711,1.9607843160629272,4.545454502105713,15.225289344787598,3.654069423675537,16.66666603088379,18.270347595214844,8.304702758789062,4.166666507720947,2.6315789222717285,15.225289344787598,4.152351379394531,4.545454502105713,2.9468302726745605,13.050248146057129,10.0,16.66666603088379,3.654069423675537,2.1244590282440186,12.5,4.34782600402832,4.152351379394531,12.5,18.270347595214844,2.17391300201416,2.17391300201416,15.225289344787598,3.654069423675537,3.4482758045196533,16.66666603088379,4.152351379394531,4.34782600402832,2.3255813121795654,3.150059938430786,7.027056694030762,20.0,11.418967247009277,2.2727272510528564,16.66666603088379,9.135173797607422,2.3423521518707275,4.545454502105713,3.150059938430786,16.66666603088379,16.66666603088379,4.0,10.0,4.152351379394531,4.152351379394531,16.66666603088379,15.225289344787598,2.2727272510528564,3.654069423675537,15.225289344787598,10.0,9.135173797607422,20.0,3.5714285373687744,2.4039931297302246,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
